checked_at,project,primary_url,status,final_url,fetch_error,madereal_host_present,madereal_link_count,credit_present,first_link_text,first_link_href,recommended_action
2026-06-30T22:55:19.900Z,pendlepods,https://pendlepods.co.uk,200,https://pendlepods.co.uk/,,yes,2,yes,madereal.uk,https://madereal.uk,Candidate for case study/internal proof
2026-06-30T22:55:20.010Z,entwistlepaving,https://entwistlepaving.co.uk,200,https://entwistlepaving.co.uk/,,yes,1,yes,madereal.uk,https://madereal.uk,Candidate for case study/internal proof
2026-06-30T22:55:20.119Z,tcjoinery,https://tcjoinerbuilder.co.uk,200,https://tcjoinerbuilder.co.uk/,,yes,1,yes,madereal.uk,https://madereal.uk,Candidate for case study/internal proof
2026-06-30T22:55:20.236Z,hynelectrical,https://hynelectrical.co.uk,200,https://hynelectrical.co.uk/,,yes,1,yes,Website by MadeReal,https://madereal.uk,Candidate for case study/internal proof
2026-06-30T22:55:20.404Z,trustedroofrepairs,https://trustedroofrepairs.uk,200,https://trustedroofrepairs.uk/,,no,0,no,,,Add approved footer credit or record why it is excluded
2026-06-30T22:55:20.513Z,sprayrite,https://sprayrite.co.uk,200,https://sprayrite.co.uk/,,yes,1,yes,Website by MadeReal,https://madereal.uk,Candidate for case study/internal proof
2026-06-30T22:55:20.616Z,dust-be-gone,https://dust-be-gone.uk,200,https://dust-be-gone.uk/,,yes,1,yes,Website by MadeReal,https://madereal.uk,Candidate for case study/internal proof
2026-06-30T22:55:20.728Z,seamlessgutters,https://seamlessgutter.uk,200,https://seamlessgutter.uk/,,yes,1,yes,Made Real,https://madereal.uk,Candidate for case study/internal proof
2026-06-30T22:55:20.904Z,intricatelandscapes,https://intricatelandscapes.co.uk,200,https://intricatelandscapes.co.uk/,,no,0,no,,,Add approved footer credit or record why it is excluded
2026-06-30T22:55:21.028Z,ocdsupreme,https://ocdsupreme.co.uk,200,https://ocdsupreme.co.uk/,,no,0,no,,,Add approved footer credit or record why it is excluded
2026-06-30T22:55:21.138Z,drivewayvisualiser,https://drivewayvisualiser.co.uk,200,https://drivewayvisualiser.co.uk/,,yes,1,yes,madereal.uk,https://madereal.uk,Candidate for case study/internal proof
2026-06-30T22:55:21.245Z,agentify-busienss,https://agentify-business.co.uk,200,https://agentify-business.co.uk/,,no,0,no,,,Add approved footer credit or record why it is excluded
2026-06-30T22:55:21.419Z,floorboard,https://floorboard.uk,200,https://floorboard.uk/,,no,0,no,,,Add approved footer credit or record why it is excluded
2026-06-30T22:55:21.560Z,colnedirectory,https://colnenearme.co.uk,200,https://colnenearme.co.uk/,,no,0,no,,,Add approved footer credit or record why it is excluded
2026-06-30T22:55:21.809Z,chameleonspray,https://chameleonpaint.co.uk,200,https://www.chameleonpaint.co.uk/,,no,0,no,,,Add approved footer credit or record why it is excluded
2026-06-30T22:55:22.002Z,slateworx,https://slateworx.co.uk,200,https://slateworx.co.uk/,,yes,1,yes,design by madereal.uk,https://madereal.uk,Candidate for case study/internal proof
2026-06-30T22:55:22.119Z,nsplastering,https://nsplastering.co.uk,200,https://nsplastering.co.uk/,,no,0,no,,,Add approved footer credit or record why it is excluded
2026-06-30T22:55:22.236Z,jackdawpi,https://jackdawinvestigations.co.uk,200,https://jackdawinvestigations.co.uk/,,no,0,no,,,Add approved footer credit or record why it is excluded
2026-06-30T22:55:22.363Z,coachedcountdown,https://coachedltd.co.uk,200,https://coachedltd.co.uk/,,no,0,no,,,Add approved footer credit or record why it is excluded
2026-06-30T22:55:22.529Z,imagerenamerai,https://imagerenamer.co.uk,200,https://imagerenamer.co.uk/,,no,0,no,,,Add approved footer credit or record why it is excluded
2026-06-30T22:55:22.639Z,timely-dolphin-ac741e,https://giftgenius.uk,200,https://giftgenius.uk/,,no,0,no,,,Add approved footer credit or record why it is excluded
2026-06-30T22:55:22.752Z,zeroeffortdownloads,https://zeroeffort.co.uk,200,https://zeroeffort.co.uk/,,no,0,no,,,Add approved footer credit or record why it is excluded
